customerPrdct_id,PhoneService,MultipleLines,InternetService
4137-JOPHL,Yes,No,Fiber optic
9436-ZBZCT,Yes,Yes,Fiber optic
7801-CEDNV,Yes,No,DSL
2057-BOYKM,Yes,Yes,Fiber optic
3658-QQJYD,Yes,No,DSL
1803-BGNBD,Yes,No,DSL
0134-XWXCE,Yes,No,DSL
6950-TWMYB,Yes,No,Fiber optic
5848-FHRFC,Yes,No,No
2243-FNMMI,Yes,No,No
2511-MORQY,Yes,Yes,DSL
5356-KZCKT,Yes,Yes,No
9470-XCCEM,Yes,Yes,Fiber optic
6519-CFDBX,Yes,No,DSL
3902-MIVLE,Yes,Yes,DSL
0409-WTMPL,Yes,Yes,Fiber optic
8763-KIAFH,Yes,No,No
3669-WHAFY,Yes,Yes,Fiber optic
3055-VTCGS,Yes,No,DSL
3144-KMTWZ,Yes,Yes,Fiber optic
7279-BUYWN,Yes,Yes,Fiber optic
7156-MHUGY,Yes,No,Fiber optic
7198-GLXTC,Yes,No,Fiber optic
2007-QVGAW,Yes,No,No
5207-PLSTK,Yes,No,DSL
2307-FYNNL,Yes,Yes,Fiber optic
5605-XNWEN,Yes,Yes,No
2155-AMQRX,Yes,Yes,DSL
6181-AXXYF,Yes,Yes,No
5091-HFAZW,Yes,No,Fiber optic
0516-VRYBW,Yes,No,No
2519-LBNQL,Yes,Yes,Fiber optic
8623-ULFNQ,Yes,Yes,DSL
8380-PEFPE,Yes,No,Fiber optic
5687-DKDTV,Yes,No,No
1568-LJSZU,Yes,Yes,DSL
7530-HDYDS,Yes,No,Fiber optic
7789-HKSBS,Yes,Yes,Fiber optic
7416-CKTEP,Yes,No,No
2586-CWXVV,No,No phone service,DSL
3096-IZETN,Yes,No,Fiber optic
2348-KCJLT,Yes,No,DSL
8401-EMUWF,Yes,Yes,DSL
4193-IBKSW,Yes,Yes,No
5377-NDTOU,Yes,Yes,DSL
5922-ABDVO,Yes,Yes,Fiber optic
2474-LCNUE,Yes,Yes,DSL
0839-QNXME,Yes,No,No
3506-OVLKD,Yes,Yes,No
9172-ANCRX,Yes,Yes,Fiber optic
6650-VJONK,Yes,No,DSL
2178-PMGCJ,Yes,No,Fiber optic
7492-TAFJD,No,No phone service,DSL
2773-MADBQ,No,No phone service,DSL
6016-LVTJQ,Yes,No,No
7860-KSUGX,Yes,Yes,DSL
8966-KZXXA,Yes,Yes,No
6910-HADCM,Yes,No,Fiber optic
4816-LXZYW,Yes,Yes,Fiber optic
9606-PBKBQ,Yes,Yes,Fiber optic
5149-QYTTU,Yes,Yes,Fiber optic
2070-XYMFH,Yes,Yes,Fiber optic
2085-BOJKI,Yes,No,Fiber optic
0817-HSUSE,Yes,No,DSL
5442-PPTJY,Yes,No,No
1927-QEWMY,Yes,No,No
1663-MHLHE,Yes,No,No
5663-QBGIS,Yes,Yes,Fiber optic
4450-MDZFX,Yes,Yes,Fiber optic
6701-DHKWQ,No,No phone service,DSL
7554-AKDQF,Yes,No,DSL
3536-IQCTX,Yes,Yes,Fiber optic
4911-BANWH,Yes,Yes,Fiber optic
8496-EJAUI,Yes,No,Fiber optic
0794-YVSGE,Yes,No,No
5423-BHIXO,Yes,Yes,DSL
6908-VVYHM,Yes,Yes,Fiber optic
2959-EEXWB,No,No phone service,DSL
1839-UMACK,Yes,Yes,No
3030-YDNRM,Yes,Yes,Fiber optic
7321-KKSDU,Yes,No,No
3402-XRIUO,Yes,Yes,DSL
3132-TVFDZ,No,No phone service,DSL
8286-AFUYI,Yes,No,DSL
8080-DDEMJ,Yes,No,DSL
8356-WUAOJ,Yes,No,DSL
6365-MTGZX,Yes,No,Fiber optic
1349-WXNGG,Yes,No,No
8058-DMYRU,Yes,Yes,Fiber optic
9350-ZXYJC,Yes,Yes,No
6990-YNRIO,Yes,Yes,Fiber optic
8958-JPTRR,Yes,Yes,No
6959-GQEGV,Yes,No,DSL
3173-WSSUE,Yes,No,No
1265-HVPZB,Yes,No,DSL
4115-UMJFQ,No,No phone service,DSL
7369-TRPFD,Yes,No,No
1098-KFQEC,Yes,No,No
7190-XHTWJ,Yes,No,No
0621-TWIEM,Yes,No,DSL
3537-RYBHH,Yes,Yes,DSL
2485-ITVKB,No,No phone service,DSL
3669-OYSJI,Yes,No,DSL
1612-EOHDH,Yes,No,DSL
6702-OHFWR,No,No phone service,DSL
5296-BFCYD,Yes,No,No
4510-PYUSH,Yes,No,DSL
9359-JANWS,Yes,No,DSL
7517-SAWMO,Yes,No,Fiber optic
4143-HHPMK,Yes,No,Fiber optic
3279-DYZQM,Yes,No,No
7054-LGEQW,Yes,No,DSL
0523-VNGTF,No,No phone service,DSL
9575-IWCAZ,Yes,Yes,No
7105-MXJLL,Yes,No,DSL
7064-FRRSW,Yes,Yes,Fiber optic
7940-UQQUG,Yes,Yes,Fiber optic
0923-PNFUB,Yes,No,Fiber optic
3961-SXAXY,Yes,No,DSL
7010-BRBUU,Yes,Yes,No
3566-HJGPK,Yes,No,DSL
3062-ICYZQ,Yes,Yes,Fiber optic
9938-PRCVK,Yes,No,No
0973-KYVNF,Yes,No,DSL
5129-HHMZC,Yes,Yes,DSL
9637-CDTKZ,Yes,Yes,Fiber optic
3946-JEWRQ,Yes,Yes,Fiber optic
7873-CVMAW,Yes,Yes,DSL
0463-WZZKO,Yes,No,No
3494-JCHRQ,Yes,No,Fiber optic
6474-FVJLC,Yes,Yes,Fiber optic
4524-QCSSM,No,No phone service,DSL
5832-EXGTT,Yes,No,DSL
8840-DQLGN,Yes,Yes,Fiber optic
2039-JONDJ,Yes,No,DSL
7217-JYHOQ,Yes,No,DSL
6695-FRVEC,Yes,No,DSL
4547-LYTDD,Yes,Yes,Fiber optic
9894-QMIMJ,Yes,No,DSL
8069-YQQAJ,No,No phone service,DSL
6770-XUAGN,Yes,No,No
4193-ORFCL,Yes,No,DSL
1636-NTNCO,No,No phone service,DSL
3466-WAESX,Yes,Yes,DSL
9281-PKKZE,No,No phone service,DSL
3638-VBZTA,Yes,Yes,DSL
7459-IMVYU,Yes,Yes,DSL
7776-QWNFX,Yes,No,DSL
6689-TCZHQ,Yes,No,Fiber optic
8563-OYMQY,Yes,No,Fiber optic
0754-EEBDC,Yes,No,No
5777-ZPQNC,Yes,No,No
1951-IEYXM,Yes,Yes,DSL
3318-NMQXL,Yes,No,Fiber optic
3143-ILDAL,Yes,Yes,Fiber optic
1022-RKXDR,Yes,Yes,No
2361-FJWNO,No,No phone service,DSL
2272-UOINI,Yes,No,DSL
8232-UTFOZ,Yes,No,No
3750-YHRYO,Yes,No,No
6637-KYRCV,No,No phone service,DSL
5668-MEISB,Yes,Yes,Fiber optic
0129-QMPDR,Yes,No,No
7188-CBBBA,Yes,Yes,Fiber optic
5356-CSVSQ,Yes,Yes,DSL
3221-CJMSG,Yes,No,DSL
4720-VSTSI,Yes,Yes,Fiber optic
3219-JQRSL,Yes,Yes,DSL
2801-NISEI,Yes,No,DSL
3946-MHCZW,Yes,No,DSL
4623-ZKHLY,Yes,No,No
6732-VAILE,Yes,Yes,DSL
8201-AAXCB,Yes,Yes,DSL
7696-CFTAT,Yes,No,No
1845-CSBRZ,Yes,Yes,Fiber optic
2123-VSCOT,Yes,Yes,DSL
6651-AZVTJ,Yes,Yes,Fiber optic
4566-GOLUK,Yes,Yes,Fiber optic
2484-DGXPZ,Yes,No,No
2018-QKYGT,Yes,No,Fiber optic
2792-VPPET,Yes,No,No
7409-JURKQ,Yes,Yes,Fiber optic
3247-MHJKM,Yes,No,No
1964-SVLEA,Yes,No,No
4587-NUKOX,Yes,No,Fiber optic
7297-DVYGA,Yes,No,No
2239-CGBUZ,Yes,No,DSL
0854-UYHZD,Yes,No,No
7243-LCGGZ,Yes,No,No
8267-KFGYD,Yes,No,No
4890-VMUAV,Yes,Yes,DSL
9261-WDCAF,Yes,No,DSL
3764-MNMOI,Yes,No,No
7442-YGZFK,Yes,Yes,DSL
0420-BWTPW,No,No phone service,DSL
8229-BUJHX,Yes,No,No
7449-HVPIV,Yes,Yes,Fiber optic
5504-WSIUR,Yes,Yes,Fiber optic
8183-ONMXC,Yes,No,Fiber optic
8466-PZBLH,Yes,Yes,Fiber optic
9614-RMGHA,Yes,Yes,Fiber optic
8735-IJJEG,Yes,No,DSL
0564-MUUQK,Yes,Yes,Fiber optic
5054-IEXZT,Yes,No,Fiber optic
5834-ASPWA,Yes,Yes,Fiber optic
0701-RFGFI,Yes,Yes,Fiber optic
0019-EFAEP,Yes,Yes,Fiber optic
5619-PTMIK,Yes,Yes,DSL
3737-XBQDD,Yes,Yes,Fiber optic
5882-CMAZQ,No,No phone service,DSL
5846-QFDFI,Yes,Yes,Fiber optic
4445-KWOKW,Yes,Yes,DSL
3511-APPBJ,Yes,No,Fiber optic
7967-HYCDE,Yes,No,Fiber optic
2430-RRYUW,Yes,No,DSL
3948-XHGNA,Yes,No,DSL
3723-BFBGR,Yes,Yes,DSL
0565-IYCGT,Yes,Yes,DSL
5447-WZAFP,Yes,No,Fiber optic
5110-CHOPY,No,No phone service,DSL
5445-UTODQ,Yes,No,Fiber optic
4425-OWHWB,Yes,No,No
7892-QVYKW,Yes,Yes,Fiber optic
9675-ICXCT,Yes,No,DSL
1024-VRZHF,Yes,Yes,Fiber optic
4703-MQYKT,Yes,No,No
9497-QCMMS,Yes,Yes,Fiber optic
5692-ICXLW,Yes,Yes,Fiber optic
0602-DDUML,Yes,No,DSL
2208-MPXIO,Yes,No,No
1960-UYCNN,Yes,Yes,Fiber optic
0348-SDKOL,Yes,Yes,Fiber optic
3190-FZATL,Yes,No,No
7336-RLLRH,Yes,Yes,DSL
4373-MAVJG,Yes,Yes,Fiber optic
8901-HJXTF,No,No phone service,DSL
7710-JSYOA,Yes,Yes,Fiber optic
5419-KLXBN,Yes,No,Fiber optic
3424-NMNBO,Yes,Yes,Fiber optic
9885-MFVSU,No,No phone service,DSL
4514-GFCFI,Yes,Yes,Fiber optic
0607-MVMGC,Yes,Yes,DSL
3365-SAIGS,Yes,No,Fiber optic
9828-AOQLM,Yes,No,DSL
8022-BECSI,Yes,No,No
8000-REIQB,Yes,No,Fiber optic
9993-LHIEB,Yes,No,DSL
0266-CLZKZ,Yes,Yes,Fiber optic
7615-ESMYF,No,No phone service,DSL
3858-VOBET,Yes,Yes,Fiber optic
7020-OZKXZ,Yes,No,Fiber optic
3977-QCRSL,Yes,No,No
0017-DINOC,No,No phone service,DSL
1447-PJGGA,Yes,No,Fiber optic
8565-CLBZW,Yes,Yes,Fiber optic
9139-WQQDY,Yes,Yes,Fiber optic
0224-HJAPT,Yes,Yes,DSL
8086-OVPWV,Yes,No,Fiber optic
9430-FRQOC,Yes,Yes,Fiber optic
7639-OPLNG,Yes,Yes,DSL
3074-GQWYX,Yes,Yes,Fiber optic
1492-QGCLU,Yes,Yes,DSL
6845-RGTYS,Yes,Yes,Fiber optic
7328-OWMOM,Yes,No,No
4418-LZMSV,Yes,No,DSL
5155-AZQPB,Yes,Yes,DSL
8861-HGGKB,Yes,Yes,Fiber optic
1087-GRUYI,Yes,No,No
7065-YUNRY,Yes,No,DSL
7694-VLBWQ,Yes,Yes,Fiber optic
2546-KZAAT,Yes,No,DSL
0181-RITDD,Yes,No,Fiber optic
5989-PGKJB,Yes,No,Fiber optic
4795-KTRTH,Yes,Yes,Fiber optic
8272-ONJLV,Yes,No,Fiber optic
1488-PBLJN,Yes,Yes,Fiber optic
0308-GIQJT,Yes,Yes,Fiber optic
3778-FOAQW,Yes,No,No
4452-ROHMO,Yes,No,No
6481-OGDOO,Yes,No,Fiber optic
3090-LETTY,Yes,Yes,DSL
5349-AZPEW,No,No phone service,DSL
3753-TSEMP,Yes,No,Fiber optic
8305-VHZBZ,Yes,No,No
9720-JJJOR,Yes,No,DSL
8100-HZZLJ,Yes,No,DSL
8775-ERLNB,Yes,Yes,Fiber optic
8309-IEYJD,Yes,No,Fiber optic
9172-JITSM,Yes,No,Fiber optic
6298-QDFNH,Yes,Yes,Fiber optic
7398-HPYZQ,Yes,Yes,DSL
3546-GHEAE,Yes,No,No
7361-YPXFS,Yes,Yes,DSL
6557-BZXLQ,Yes,No,Fiber optic
2550-QHZGP,Yes,No,No
7519-JTWQH,Yes,Yes,Fiber optic
2538-OIMXF,No,No phone service,DSL
8543-MSDMF,Yes,No,DSL
9961-JBNMK,Yes,No,Fiber optic
1170-SASML,Yes,Yes,Fiber optic
4872-JCVCA,No,No phone service,DSL
5346-BZCHP,Yes,No,No
2038-LLMLM,Yes,Yes,Fiber optic
6173-ITPWD,Yes,Yes,Fiber optic
9734-UYXQI,Yes,Yes,DSL
1216-BGTSP,Yes,Yes,Fiber optic
4138-NAXED,Yes,Yes,Fiber optic
2189-UXTKY,Yes,Yes,DSL
0744-BIKKF,Yes,Yes,DSL
7483-IQWIB,Yes,Yes,Fiber optic
5248-KWLAR,Yes,Yes,DSL
4958-GZWIY,Yes,No,DSL
7996-MHXLW,Yes,Yes,No
7833-PKIHD,Yes,No,DSL
7061-OVMIM,Yes,No,No
5153-RTHKF,Yes,Yes,Fiber optic
1852-QSWCD,Yes,Yes,No
4832-VRBMR,Yes,Yes,Fiber optic
9079-LWTFD,Yes,Yes,Fiber optic
6356-ELRKD,Yes,No,Fiber optic
8624-GIOUT,Yes,Yes,DSL
3392-EHMNK,Yes,Yes,Fiber optic
5986-WWXDV,Yes,No,No
3061-BCKYI,Yes,No,No
6179-GJPSO,Yes,No,Fiber optic
7901-TBKJX,Yes,Yes,Fiber optic
7228-PAQPD,Yes,No,DSL
3177-LASXD,Yes,No,Fiber optic
7746-QYVCO,Yes,No,DSL
5804-HYIEZ,Yes,Yes,Fiber optic
9919-FZDED,Yes,Yes,DSL
5934-TSSAU,Yes,No,Fiber optic
3486-KHMLI,Yes,Yes,No
4897-QSUYC,Yes,No,No
1084-UQCHV,Yes,No,Fiber optic
8290-YWKHZ,Yes,Yes,Fiber optic
2955-BJZHG,Yes,No,Fiber optic
3806-DXQOM,No,No phone service,DSL
6784-XYJAE,Yes,Yes,DSL
3933-DQPWX,No,No phone service,DSL
6661-EIPZC,No,No phone service,DSL
8957-THMOA,Yes,No,No
2251-PYLPB,Yes,Yes,DSL
5555-RNPGT,Yes,Yes,No
1057-FOGLZ,Yes,No,No
9300-RENDD,Yes,No,Fiber optic
0761-AETCS,Yes,No,No
8087-LGYHQ,Yes,No,Fiber optic
4137-BTIKL,Yes,Yes,Fiber optic
2190-BCXEC,Yes,Yes,Fiber optic
6227-FBDXH,Yes,Yes,Fiber optic
2153-MREFK,Yes,Yes,Fiber optic
2911-WDXMV,Yes,Yes,Fiber optic
7206-PQBBZ,Yes,No,Fiber optic
3106-ULWFW,Yes,Yes,Fiber optic
0925-VYDLG,Yes,Yes,Fiber optic
4547-FZJWE,Yes,No,DSL
7422-WNBTY,Yes,Yes,Fiber optic
0842-IWYCP,Yes,No,DSL
3521-HTQTV,Yes,Yes,No
3744-ZBHON,Yes,No,No
3373-DIUUN,Yes,No,No
8383-SGHJU,Yes,Yes,DSL
7607-QKKTJ,Yes,Yes,Fiber optic
7707-PYBBH,Yes,No,DSL
8984-HPEMB,Yes,Yes,Fiber optic
4349-GFQHK,Yes,Yes,DSL
4139-DETXS,No,No phone service,DSL
9779-DPNEJ,Yes,No,Fiber optic
9805-FILKB,Yes,No,No
5793-YOLJN,Yes,No,No
0673-IGUQO,Yes,No,No
4123-FCVCB,Yes,Yes,DSL
8819-IMISP,Yes,Yes,Fiber optic
7802-EFKNY,No,No phone service,DSL
8311-UEUAB,Yes,Yes,DSL
5858-EAFCZ,Yes,No,DSL
8035-BUYVG,No,No phone service,DSL
1163-ONYEY,Yes,Yes,DSL
9787-XVQIU,Yes,Yes,Fiber optic
8945-MUQUF,Yes,Yes,Fiber optic
5656-MJEFC,No,No phone service,DSL
6082-OQFBA,Yes,No,No
8051-HJRLT,Yes,No,Fiber optic
8974-OVACP,Yes,No,No
4010-YLMVT,Yes,Yes,Fiber optic
1379-FRVEB,Yes,Yes,Fiber optic
8612-GXIDD,Yes,Yes,No
6288-CHQJB,Yes,No,DSL
8160-HOWOX,Yes,No,DSL
3023-GFLBR,Yes,Yes,Fiber optic
6648-INWPS,Yes,No,No
4223-BKEOR,Yes,No,DSL
4079-VTGLK,Yes,Yes,DSL
1763-WQFUK,Yes,No,DSL
1391-UBDAR,Yes,No,Fiber optic
8894-JVDCV,Yes,Yes,Fiber optic
2023-VQFDL,Yes,No,No
1345-GKDZZ,Yes,No,No
2014-MKGMH,Yes,Yes,Fiber optic
5628-FCGYG,Yes,Yes,Fiber optic
2560-WBWXF,Yes,Yes,No
0248-IPDFW,Yes,Yes,DSL
7978-DKUQH,Yes,No,Fiber optic
4335-UPJSI,Yes,No,No
0524-IAVZO,Yes,Yes,Fiber optic
2737-YNGYW,Yes,No,Fiber optic
1784-EZDKJ,Yes,Yes,Fiber optic
9297-FVVDH,Yes,Yes,DSL
8007-YYPWD,Yes,Yes,No
7101-HRBLJ,Yes,No,DSL
5159-YFPKQ,Yes,No,Fiber optic
6635-CPNUN,Yes,Yes,Fiber optic
4021-RQSNY,Yes,Yes,Fiber optic
5453-YBTWV,Yes,No,Fiber optic
5039-LZRQT,Yes,No,No
2931-VUVJN,Yes,Yes,Fiber optic
9061-TIHDA,Yes,Yes,Fiber optic
8699-ASUFO,Yes,Yes,Fiber optic
6418-PIQSP,Yes,No,DSL
8220-OCUFY,Yes,No,DSL
3995-WFCSM,Yes,No,DSL
1895-QTKDO,Yes,No,DSL
2038-OEQZH,Yes,No,Fiber optic
1178-PZGAB,Yes,No,No
7927-AUXBZ,Yes,No,Fiber optic
2626-VEEWG,Yes,No,No
2878-RMWXY,Yes,Yes,Fiber optic
1657-DYMBM,Yes,No,No
7311-MQJCH,Yes,No,No
7375-WMVMT,Yes,No,Fiber optic
1136-XGEQU,Yes,Yes,DSL
2530-FMFXO,Yes,Yes,Fiber optic
6844-DZKRF,Yes,No,DSL
4695-WJZUE,Yes,Yes,Fiber optic
7619-ODSGN,Yes,Yes,DSL
5970-GHJAW,Yes,No,No
8879-XUAHX,Yes,Yes,Fiber optic
3689-MOZGR,No,No phone service,DSL
4195-PNGZS,Yes,Yes,No
5003-XZWWO,Yes,Yes,DSL
3988-RQIXO,Yes,No,Fiber optic
7622-FWGEW,Yes,No,DSL
6922-NCEDI,Yes,No,No
2514-GINMM,Yes,No,Fiber optic
9891-NQDBD,Yes,Yes,No
6131-IUNXN,Yes,No,No
8548-AWOFC,Yes,Yes,DSL
9798-DRYDS,Yes,Yes,DSL
8532-UEFWH,Yes,Yes,No
6296-DDOOR,Yes,No,DSL
7951-VRDVK,Yes,No,DSL
5931-FLJJF,Yes,No,Fiber optic
4815-YOSUK,Yes,Yes,Fiber optic
2659-VXMWZ,Yes,Yes,Fiber optic
0380-NEAVX,Yes,No,Fiber optic
3207-OYBWH,Yes,Yes,Fiber optic
4285-GYRQC,Yes,No,Fiber optic
7216-EWTRS,Yes,Yes,Fiber optic
4365-MSDYN,Yes,No,No
7036-TYDEC,Yes,Yes,Fiber optic
5802-ADBRC,Yes,Yes,Fiber optic
8076-FEZKJ,Yes,No,No
5197-YPYBZ,Yes,Yes,No
8337-MSSXB,Yes,No,Fiber optic
4312-GVYNH,No,No phone service,DSL
8495-LJDFO,Yes,Yes,Fiber optic
0839-JTCUD,Yes,Yes,DSL
5494-WOZRZ,Yes,No,DSL
1302-UHBDD,Yes,No,Fiber optic
2234-EOFPT,Yes,No,DSL
8619-IJNDK,Yes,No,DSL
8378-LKJAF,Yes,Yes,Fiber optic
8182-BJDSI,Yes,Yes,Fiber optic
2528-HFYZX,Yes,No,Fiber optic
1153-GNOLC,No,No phone service,DSL
3298-QEICA,No,No phone service,DSL
0788-DXBFY,Yes,No,No
3597-YASZG,Yes,Yes,Fiber optic
3496-LFSZU,Yes,No,Fiber optic
5242-UOWHD,Yes,No,No
2482-CZGBB,Yes,No,Fiber optic
6479-SZPLM,Yes,No,No
8097-VBQTZ,Yes,No,DSL
4500-HKANN,Yes,Yes,DSL
9917-KWRBE,Yes,Yes,DSL
3420-ZDBMA,Yes,No,Fiber optic
2212-LYASK,No,No phone service,DSL
1393-IMKZG,Yes,No,Fiber optic
8069-RHUXK,No,No phone service,DSL
3398-GCPMU,Yes,Yes,DSL
2908-WGAXL,Yes,Yes,No
3378-AJRAO,Yes,Yes,No
1013-QCWAM,Yes,Yes,Fiber optic
0866-QLSIR,Yes,Yes,DSL
6050-FFXES,Yes,Yes,Fiber optic
7181-BQYBV,Yes,Yes,Fiber optic
0362-RAOQO,Yes,No,No
9554-DFKIC,Yes,Yes,DSL
5527-ACHSO,Yes,No,DSL
0829-DDVLK,Yes,No,No
1399-UBQIU,Yes,No,DSL
1813-JLKWR,Yes,No,No
0336-PIKEI,Yes,No,DSL
7322-OCWHC,Yes,Yes,Fiber optic
9537-VHDTA,Yes,No,DSL
4957-TIALW,Yes,No,DSL
2054-PJOCK,Yes,Yes,DSL
9150-HEPMB,Yes,No,DSL
9030-QGZNL,Yes,No,No
6204-IEUXJ,Yes,No,Fiber optic
3126-WQMGH,Yes,Yes,DSL
4529-CKBCL,Yes,No,Fiber optic
2506-CLAKW,Yes,No,Fiber optic
7176-WRTNX,Yes,Yes,Fiber optic
1583-IHQZE,Yes,Yes,Fiber optic
5732-IKGQH,Yes,No,Fiber optic
9239-GZHZE,Yes,Yes,Fiber optic
7205-BAIAD,Yes,No,No
0151-ONTOV,Yes,No,Fiber optic
4140-MUHUG,Yes,No,Fiber optic
0093-EXYQL,Yes,No,Fiber optic
8064-RAVOH,Yes,No,DSL
0219-QAERP,Yes,No,No
0320-JDNQG,Yes,No,Fiber optic
7180-PISOG,Yes,Yes,Fiber optic
9168-INPSZ,Yes,Yes,Fiber optic
3571-RFHAR,Yes,Yes,Fiber optic
0015-UOCOJ,Yes,No,DSL
5334-AFQJB,Yes,Yes,No
2754-SDJRD,Yes,Yes,Fiber optic
9578-VRMNM,Yes,Yes,DSL
1587-FKLZB,Yes,Yes,Fiber optic
6140-QNRQQ,Yes,No,Fiber optic
8963-JLGJT,Yes,No,DSL
4307-KTUMW,Yes,Yes,Fiber optic
1465-LNTLJ,Yes,No,DSL
5440-FLBQG,Yes,Yes,Fiber optic
2135-DQWAQ,Yes,No,Fiber optic
4056-QHXHZ,Yes,Yes,Fiber optic
7470-MCQTK,No,No phone service,DSL
7488-MXJIV,Yes,Yes,Fiber optic
7401-JIXNM,Yes,Yes,DSL
9339-FIIJL,Yes,Yes,DSL
2027-FECZV,Yes,Yes,Fiber optic
2672-DZUOY,No,No phone service,DSL
4706-DGAHW,Yes,No,DSL
3870-MQAMG,Yes,Yes,Fiber optic
6670-MFRPK,Yes,Yes,Fiber optic
6177-PEVRA,Yes,No,DSL
4800-CZMPC,Yes,Yes,Fiber optic
4813-HQMGZ,Yes,Yes,Fiber optic
7579-KKLOE,Yes,Yes,DSL
7377-DMMRI,Yes,No,DSL
8402-EIVQS,Yes,No,Fiber optic
4947-DSMXK,Yes,Yes,Fiber optic
7245-NIIWQ,Yes,No,Fiber optic
0002-ORFBO,Yes,No,DSL
3324-OIRTO,Yes,No,Fiber optic
5414-OFQCB,Yes,Yes,Fiber optic
4967-WPNCF,No,No phone service,DSL
8552-OBVRU,Yes,No,Fiber optic
8499-BRXTD,Yes,No,No
9154-QDGTH,Yes,Yes,Fiber optic
8197-BFWVU,Yes,Yes,DSL
2577-GVSIL,Yes,Yes,DSL
9367-OIUXP,Yes,No,No
6770-UAYGJ,Yes,Yes,No
6463-HHXJR,Yes,Yes,Fiber optic
7928-VJYAB,Yes,No,Fiber optic
1187-WILMM,Yes,Yes,DSL
9776-OJUZI,Yes,Yes,Fiber optic
1306-RPWXZ,Yes,No,No
8949-JTMAY,Yes,Yes,Fiber optic
2774-LVQUS,Yes,Yes,Fiber optic
3097-PYWXL,Yes,No,No
2266-SJNAT,Yes,Yes,Fiber optic
0869-PAPRP,Yes,No,Fiber optic
4238-JSSWH,Yes,Yes,Fiber optic
2972-YDYUW,Yes,Yes,Fiber optic
1104-FEJAM,Yes,Yes,DSL
2809-ILCYT,Yes,Yes,No
5499-ECUTN,Yes,No,DSL
4981-FLTMF,Yes,Yes,DSL
9121-PHQSR,Yes,Yes,Fiber optic
3113-IWHLC,Yes,No,DSL
3211-ILJTT,Yes,No,Fiber optic
4612-THJBS,Yes,Yes,Fiber optic
4277-BWBML,Yes,No,No
4094-NSEDU,Yes,Yes,Fiber optic
0234-TEVTT,No,No phone service,DSL
4304-TSPVK,Yes,Yes,Fiber optic
1552-AAGRX,Yes,Yes,Fiber optic
2637-FKFSY,Yes,No,DSL
9796-MVYXX,No,No phone service,DSL
7874-ECPQJ,Yes,No,No
0020-INWCK,Yes,Yes,Fiber optic
7089-RKVSZ,Yes,Yes,No
2683-JXWQQ,No,No phone service,DSL
9548-ZMVTX,Yes,Yes,Fiber optic
8739-XNIKG,Yes,Yes,Fiber optic
9755-JHNMN,Yes,No,DSL
3981-QSVQI,Yes,No,No
2789-HQBOU,Yes,No,Fiber optic
9424-CMPOG,Yes,No,No
5067-WJEUN,Yes,No,DSL
3450-WXOAT,Yes,No,DSL
9251-WNSOD,Yes,Yes,DSL
6974-DAFLI,Yes,No,No
2616-UUTFK,Yes,Yes,DSL
7064-JHXCE,Yes,No,No
5103-MHMHY,Yes,No,DSL
7989-AWGEH,No,No phone service,DSL
4373-VVHQL,Yes,No,DSL
4559-UWIHT,Yes,Yes,Fiber optic
7268-IGMFD,Yes,Yes,Fiber optic
1846-XWOQN,Yes,No,Fiber optic
0235-KGSLC,Yes,No,Fiber optic
6650-BWFRT,Yes,Yes,Fiber optic
9570-KYEUA,Yes,Yes,Fiber optic
6993-YGFJV,Yes,Yes,Fiber optic
2712-SYWAY,Yes,Yes,No
0730-BGQGF,Yes,Yes,DSL
5498-IBWPI,Yes,No,DSL
9101-NTIXF,Yes,No,No
0013-SMEOE,Yes,No,Fiber optic
9314-QDMDW,Yes,No,DSL
9308-ANMVE,Yes,No,DSL
2884-GBPFB,Yes,No,Fiber optic
3757-NJYBX,Yes,Yes,Fiber optic
3413-DHLPB,Yes,Yes,Fiber optic
7649-PHJVR,Yes,No,No
6114-TCFID,No,No phone service,DSL
3787-TRIAL,No,No phone service,DSL
2573-GYRUU,Yes,Yes,Fiber optic
5156-UMKOW,No,No phone service,DSL
1247-QBVSH,Yes,No,DSL
6734-GMPVK,Yes,Yes,Fiber optic
9822-OAOVB,Yes,No,DSL
6161-ERDGD,Yes,Yes,DSL
1226-JZNKR,Yes,No,No
7318-EIVKO,Yes,Yes,DSL
3771-PZOBW,Yes,Yes,Fiber optic
5136-KCKGI,Yes,Yes,Fiber optic
8231-BSWXX,Yes,Yes,Fiber optic
6486-LHTMA,Yes,Yes,Fiber optic
4083-BFNYK,Yes,Yes,Fiber optic
3722-WPXTK,Yes,No,Fiber optic
7389-KBFIT,No,No phone service,DSL
7176-WIONM,No,No phone service,DSL
5141-ZUVBH,Yes,No,Fiber optic
1089-HDMKP,Yes,No,DSL
7623-HKYRK,Yes,No,No
0310-SUCIN,Yes,No,DSL
5197-PYEPU,Yes,Yes,Fiber optic
2929-ERCFZ,Yes,No,Fiber optic
7548-SEPYI,Yes,No,Fiber optic
8835-VSDSE,Yes,No,Fiber optic
6619-RPLQZ,Yes,No,No
3275-RHRNE,No,No phone service,DSL
3503-TYDAY,Yes,Yes,Fiber optic
6901-GOGZG,Yes,Yes,DSL
1623-NLDOT,No,No phone service,DSL
7021-XSNYE,No,No phone service,DSL
9621-OUPYD,Yes,No,No
9898-KZQDZ,Yes,Yes,Fiber optic
8982-NHAVY,Yes,Yes,Fiber optic
4307-KWMXE,No,No phone service,DSL
0141-YEAYS,Yes,Yes,Fiber optic
